Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Pakistan,PAK,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.03507596741191
Pakistan,PAK,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.43069396397854
Pakistan,PAK,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.09950242183893
Pakistan,PAK,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.43473185132454
Pakistan,PAK,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.84749878470591
Pakistan,PAK,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.57091939335012
Pakistan,PAK,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.72910078916519
Pakistan,PAK,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.20869919360663
Pakistan,PAK,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.74941872319061
Pakistan,PAK,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.28739548437704
Pakistan,PAK,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.2585727443679
Pakistan,PAK,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.31770871100261
Pakistan,PAK,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.72478921539989
Pakistan,PAK,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.2792546826955
Pakistan,PAK,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.27739834733308
Pakistan,PAK,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.41307555426479
Pakistan,PAK,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.25528819441169
Pakistan,PAK,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.01868773713601
Pakistan,PAK,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.69220900805021
Pakistan,PAK,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.3593669332649
Pakistan,PAK,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.66150389370405
Pakistan,PAK,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.86082345901736
Pakistan,PAK,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.64656028618066
Pakistan,PAK,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.90749240985792
Pakistan,PAK,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.25167217860701
Pakistan,PAK,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.18156308858836
Pakistan,PAK,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.72397143341125
Pakistan,PAK,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.45964317514645
Pakistan,PAK,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.75310407555253
Pakistan,PAK,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.21792266867557
Pakistan,PAK,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.10666791658042
Pakistan,PAK,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.77407304111851
Pakistan,PAK,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.36774337103508
Pakistan,PAK,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.52680461939971
Pakistan,PAK,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.05681493273119
Pakistan,PAK,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.14056531634848
Pakistan,PAK,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.70851025569081
Pakistan,PAK,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.57196988538821
Pakistan,PAK,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.45607488493167
Pakistan,PAK,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.79076524467393
Pakistan,PAK,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.7321617358035
Pakistan,PAK,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.32867070075705
Pakistan,PAK,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.39378064915247
Pakistan,PAK,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,10.3409543962953
Pakistan,PAK,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.5038323021516
Pakistan,PAK,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.4139277578913
Pakistan,PAK,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.6323379130237
Pakistan,PAK,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.5929600755965
Pakistan,PAK,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.6654092795172
Pakistan,PAK,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.7088176588001
Pakistan,PAK,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,33.0063756743502
Pakistan,PAK,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.4791579534365
Pakistan,PAK,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.9112816551607
Pakistan,PAK,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.868735327141
Pakistan,PAK,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.4723370962334
Pakistan,PAK,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,43.0067050935184
Pakistan,PAK,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,45.2713382507903
Pakistan,PAK,2004,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.3400447427293
Pakistan,PAK,2003,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.6670792079208
Pakistan,PAK,2002,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.4929840972872
Pakistan,PAK,2001,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.8398914518318
Pakistan,PAK,2000,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,13.3333333333333
Pakistan,PAK,1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.1907090464548
Pakistan,PAK,1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,15.4949121184089
Pakistan,PAK,1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.50916615588
Pakistan,PAK,1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.1030192339694
Pakistan,PAK,1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.7986504907954
Pakistan,PAK,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,21.1104320076807
Pakistan,PAK,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.5239269427951
Pakistan,PAK,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.976430603954
Pakistan,PAK,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.5260140214009
Pakistan,PAK,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,17.8187834935618
Pakistan,PAK,1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.4545382772126
Pakistan,PAK,1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.3423974202037
Pakistan,PAK,1987,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.7213440343179
Pakistan,PAK,1986,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.6352616213751
Pakistan,PAK,1985,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.2994732980295
Pakistan,PAK,1984,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,19.4158167349034
Pakistan,PAK,1983,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.2817276293585
Pakistan,PAK,1982,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.6153776629348
Pakistan,PAK,1981,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.9625786510653
Pakistan,PAK,1980,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,22.8429331482767
Pakistan,PAK,1979,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.3622259264008
Pakistan,PAK,1978,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,23.132372214941
Pakistan,PAK,1977,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.8911704312115
Pakistan,PAK,1976,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.8780151619572
Pakistan,PAK,2018,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,6253000000
Pakistan,PAK,2017,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5868000000
Pakistan,PAK,2016,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,5674000000
